PMID,Child Concept,Relationship,Parent Concept,Similar Concepts,Similarities,Most Similar Concept
34893308,Education,is-a,Social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
1960765,Education,is-a,social factor,"Social factor, social factor, Social Factors, factor social, Social factor, NOS, Social Risk Factor, Risk Factors, Socioeconomic Factors, Occupation-related social factor, Family-related social factor, Family-related social factor, Occupation-related social factor, factor social relacionado con la familia, factor social relacionado con la ocupación, Factores Socioeconómicos, CDISC SDTM Social Risk Factor Terminology, Factores Sociales, Factores de Riesgo, Environmental and Social Factors Domain, Environmental and Social Factors Supplemental Qualifiers Dataset, Other social factors:Hx:Pt:^Patient:Nar, social factor in disease, social factor in AODU, Other social factors:Hx:Pt:^Patient:Nom, Other social factors","0.9999999854513131, 0.9999999854513131, 0.9745734468147291, 0.9054216725287983, 0.9999999854513131, 0.8395470331328035, 0.9594230979133694, 0.9133737783183974, 0.9508600199645858, 0.9648985948686073, 0.9777520766793372, 0.9777520766793372, 0.9648985948686073, 0.8293797619487202, 0.811693901478648, 0.8472188466900494, 0.8610544943808651, 0.8484030695270739, 0.828294312149624, 0.9259517063127578, 0.8785188486931094, 0.891786469076533, 0.9104758475254918, 0.9096083705994538, 0.887620938545456, 0.938475028607346",Social factor
16753194,Education,is-a,developmental factor,"N1 protein, Ambystoma mexicanum, Fbln5 protein, rat, FBLN5 protein, human, Fbln5 protein, mouse, ""Respiratory, Developmental, Rehabilitative and Restorative Service Providers""; Occupational Therapist, Human Factors, ""Respiratory, Developmental, Rehabilitative and Restorative Service Providers""; Physical Therapist, Human Factors","0.8514323636323697, 0.8312411252505799, 0.8565484150479223, 0.8448011737999941, 0.8565484150479223, 0.9164248942479797, 0.8565484150479223, 0.8697857413190139, 0.8642618475330426, 0.9551770162275192, 0.8461505922426696, 0.8965555529744232, 0.8642618475330426, 0.9551770162275192, 0.8384635967906049, 0.8965555529744232",Developmental
37481793,Education,is-a,social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
34539868,Education,is-a,social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
34283757,Doctor of Pharmacy degree programs,is-a,Education,"Provided Patient Education, Patient education, Patient Education as Topic, patient education, Patient Education, patient education, Patient Education, Client Education, Patient Education, Patient education, Patient education, Patient education, health education, Patient education, NOS, PATIENT EDUCATION, patient education, client education, health promotion, Lack of education, School, Education Level, Educational institution, educational institution, educational organization, Education","0.8957102827935072, 0.9058955526476397, 0.9065727945849373, 0.9058955526476397, 0.9058955526476397, 0.9058955526476397, 0.9058955526476397, 0.9214887978700419, 0.9058955526476397, 0.9058955526476397, 0.9058955526476397, 0.9058955526476397, 0.9318860274933765, 0.9058955526476397, 0.9316751793911913, 0.9058955526476397, 0.9058955526476397, 0.9214887978700419, 0.9189438941204362, 0.9058273048788825, 0.9568210457462358, 0.9057291170203219, 0.9265180379174119, 0.9265180379174119, 0.897429099179775, 0.9999999950754727",Education
34283757,Education,is-a,Social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
12315900,Education,is-a,Social Determinant of Health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
36344305,Education,is-a,Social determinants of health (SDOH,,,
12314275,Education,is-a,Social Determinant of Health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
38185436,Education,is-a,Social determinants of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, social determinants of health significantly limiting diagnosis or treatment, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Counseling for social determinant of health risk, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9999999895919076, 0.9999999895919076, 0.9999999895919076, 0.9999999895919076, 0.9145038971341557, 0.9099084196881976, 0.877056099995079, 0.9099084196881976, 0.877056099995079, 0.8347328448954254, 0.898175186411588, 0.898175186411588, 0.8142496818741656, 0.8037074137262162, 0.8047812940377234, 0.8743751724331312, 0.8579686883399678, 0.8691221010915874, 0.8294325258279347, 0.7815524917320777, 0.9037896028809331, 0.8030488020936529, 0.7953914461984481, 0.8210299436087192, 0.8226689054219376, 0.8463439219560681, 0.7803762699842617, 0.8480381248515766",Social Determinants of Health
32318985,Education,is-a,determinant area of Healthy People 2020,,,
37245553,Education,is-a,social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
27852309,Education,is-a,Social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
35115261,Education,is-a,key determinant of health,,,
29799899,Education,is-a,factor influencing migration,,,
34533530,Education,is-a,Social determinants of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, social determinants of health significantly limiting diagnosis or treatment, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Counseling for social determinant of health risk, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9999999895919076, 0.9999999895919076, 0.9999999895919076, 0.9999999895919076, 0.9145038971341557, 0.9099084196881976, 0.877056099995079, 0.9099084196881976, 0.877056099995079, 0.8347328448954254, 0.898175186411588, 0.898175186411588, 0.8142496818741656, 0.8037074137262162, 0.8047812940377234, 0.8743751724331312, 0.8579686883399678, 0.8691221010915874, 0.8294325258279347, 0.7815524917320777, 0.9037896028809331, 0.8030488020936529, 0.7953914461984481, 0.8210299436087192, 0.8226689054219376, 0.8463439219560681, 0.7803762699842617, 0.8480381248515766",Social Determinants of Health
29218540,Social determinants of health,include,education,"Provided Patient Education, Patient education, Patient Education as Topic, patient education, Patient Education, patient education, Patient Education, Client Education, Patient Education, Patient education, Patient education, Patient education, health education, Patient education, NOS, PATIENT EDUCATION, patient education, client education, health promotion, Lack of education, School, Education Level, Educational institution, educational institution, educational organization, Education","0.8957102827935072, 0.9058955526476397, 0.9065727945849373, 0.9058955526476397, 0.9058955526476397, 0.9058955526476397, 0.9058955526476397, 0.9214887978700419, 0.9058955526476397, 0.9058955526476397, 0.9058955526476397, 0.9058955526476397, 0.9318860274933765, 0.9058955526476397, 0.9316751793911913, 0.9058955526476397, 0.9058955526476397, 0.9214887978700419, 0.9189438941204362, 0.9058273048788825, 0.9568210457462358, 0.9057291170203219, 0.9265180379174119, 0.9265180379174119, 0.897429099179775, 0.9999999950754727",Education
30568417,Education,is-a,opportunity affected by child labor,,,
36495544,Education,is-a,Social Determinant of Health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
35107854,Education,is-a,Social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
35674883,Education,is-a,Core domain of social determinants of health,,,
33632053,Education,is-a,Domain of Index Measure,,,
36070665,Education,is-a,domain potentially affected by COVID-19,,,
12284380,Education,is-a,Social Determinant of Health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
37054658,Education,is-a,social factor,"Social factor, social factor, Social Factors, factor social, Social factor, NOS, Social Risk Factor, Risk Factors, Socioeconomic Factors, Occupation-related social factor, Family-related social factor, Family-related social factor, Occupation-related social factor, factor social relacionado con la familia, factor social relacionado con la ocupación, Factores Socioeconómicos, CDISC SDTM Social Risk Factor Terminology, Factores Sociales, Factores de Riesgo, Environmental and Social Factors Domain, Environmental and Social Factors Supplemental Qualifiers Dataset, Other social factors:Hx:Pt:^Patient:Nar, social factor in disease, social factor in AODU, Other social factors:Hx:Pt:^Patient:Nom, Other social factors","0.9999999854513131, 0.9999999854513131, 0.9745734468147291, 0.9054216725287983, 0.9999999854513131, 0.8395470331328035, 0.9594230979133694, 0.9133737783183974, 0.9508600199645858, 0.9648985948686073, 0.9777520766793372, 0.9777520766793372, 0.9648985948686073, 0.8293797619487202, 0.811693901478648, 0.8472188466900494, 0.8610544943808651, 0.8484030695270739, 0.828294312149624, 0.9259517063127578, 0.8785188486931094, 0.891786469076533, 0.9104758475254918, 0.9096083705994538, 0.887620938545456, 0.938475028607346",Social factor
37903138,Education,is-a,Key social need upon release,,,
